ID,Trail,Endpoints,Miles,node_A,node_B,cost_A_to_B,cost_B_to_A,is_required,node_A_is_campsite,node_B_is_campsite,elev_A,elev_B,gain_A_to_B,gain_B_to_A,is_trail_closed,node_A_overnight_closed,node_B_overnight_closed
131,Gold Mine,Cooper Road - Park Boundary,0.8,TI003,TH002,1255,991,1,0,0,1676,1992,354,37,0,0,0
132.1,Goldmine Loop,Lakeshore - Campsite 67,0.9,TI102,BC067,1138,1414,1,0,1,2142,1804,46,385,0,0,0
132.2,Goldmine Loop,Campsite 67 - Tunnel Bypass,1.1,BC067,TI105,1884,1584,1,1,0,1804,2239,547,111,0,0,0
133,Goshen Prong,Little River - Camp #23,3.3,TI108,BC023,4431,3804,1,0,1,2732,3298,791,223,0,0,0
134,Goshen Prong,Camp #23 - AT,4.4,BC023,TI112,7788,5901,1,1,0,3298,5767,2626,158,0,0,0
135.1,Grapeyard Ridge,Greenbrier Cove Road - Campsite 32,3.2,TH183,BC032,4664,4085,1,0,1,1672,2279,1007,400,0,0,0
135.2,Grapeyard Ridge,Campsite 32 - Roaring Fork Motor,4.4,BC032,TH144,6524,6410,1,1,0,2279,2418,1296,1157,0,0,0
136,Grassy Branch,Kephart Prong - Dry Sluice Gap,2.5,SH115,TI193,4883,3588,1,1,0,3582,5295,1772,60,0,0,0
137,Greenbrier Ridge,Lynn Camp Prong - AT,4.2,TI077,TI075,6580,5262,1,0,0,3186,4773,1805,218,0,0,0
138,Gregory Bald,Parsons Branch Road - Wolf Ridge,4.1,TH007,BC013,6533,4947,1,0,1,2779,4642,1966,102,0,0,0
139,Gregory Bald,Wolf Ridge - Gregory Ridge,1.2,BC013,TI013,1707,1750,1,1,0,4642,4602,321,362,0,0,0
140,Gregory Bald,Gregory Ridge - Long Hungry Ridge,0.1,TI013,TI014,80,94,1,0,0,4602,4592,0,10,0,0,0
141,Gregory Bald,Long Hungry Ridge - AT,2,TI014,TI022,2984,3079,1,0,0,4592,4446,492,638,0,0,0
142.1,Gregory Ridge,Forge Creek Road - Campsite 12,2,TH016,BC012,3076,2490,1,0,1,1927,2563,762,126,0,0,0
142.2,Gregory Ridge,Campsite 12 - Gregory Bald,3,BC012,TI013,5491,3945,1,1,0,2563,4602,2060,21,0,0,0
143,Gunter Fork,Camel Gap - Balsam Mountain,4.1,TI247,TI241,7366,5576,1,0,0,3196,5522,2493,167,0,0,0
144,Hannah Mountain,Hatcher Mountain Trail - Rabbit Creek Trail,1.9,TI004,BC016,2660,2181,1,0,1,1269,1760,574,84,0,0,0
145.1,Hannah Mountain,Rabbit Creek Trail - Campsite 14,3.2,BC016,BC014,4385,4176,1,1,1,1760,2032,784,512,0,0,0
